,User,CREATED_AT,LABEL,stemming_words
33,1.42E+18,7/31/2021 17:39,Sport,හුංගම පල්ලෙගම හයිරයිඩස් ක්රීඩා පිටිය ග්රාමිය වොලිබෝල් ක්රීඩාංගනය ජනතා අයිතියට පැවරී ප්රාදේශීය ලේකම් කොට්ඨාශ එක් පොදු ක්රීඩා පිටියක් සංවර්ධන කිරීමේ වැඩසටහන යටතේ ක්රිඩාංගණ සංවර්ධන කර අමාත්ය නාමල් රාජපක්ෂ මැතිතුමන් ප්රධානත්වය අද ජනතා අයිතියට පත්විය
36,1.42E+18,7/31/2021 15:38,Sport,ඔව්මෙතන අපේ ක්රීඩකයින්ට ඇදුම්ගැන ප්රශ්නයක් කතා කලේ විශේෂයෙන් මලල ක්රීඩා වෙ
40,1.42E+18,7/31/2021 15:23,Sport,තහනම ලක් කොට අංගම්පොර සටන් කලාව කැබිනට් පත්රිකාවක් ඉවත්කොට වසර තුල ගැසට් කිරීමට පියවර ගන්නා ක්රීඩා තරුණ කටයුතු අමාත්ය නාමල් රාජපක්ෂ මහතා පවසයි ජාතික ක්රීඩා සතිය නිමිත්තෙන් පිළිකුත්තුව පුරාණ රජමහ විහාරස්ථාන භූමියේදී පැවැති
42,1.42E+18,7/31/2021 14:10,Sport,එකේ මිල්කා පටන්ගත් තැනම බැලන්ස් නැතුව වැටෙනව ඔලිම්පික් එකක ක්රීඩා විලාසය කියල
44,1.42E+18,7/31/2021 14:04,Sport,අපි හැමදාම කලේ අතීතයේ දිහා බලාගෙන ආඩම්බර වෙනවා ඒකාලේ මෙහෙම හැදුව කියලා අද චීනට දෙනවා
46,1.42E+18,7/31/2021 9:51,Sport,ඉන්දියාව පැවති තරඟ ජයග්රහණ කරා මෙහෙයවූ අතිගරු ජනාධිපති ගොටාබය රාජපක්ස මැතිඳුන්ටත් අහමති මහින්ද රාජපක්ස මැතිඳුන්ටත් ක්රීඩා ඇමති නාමල් රාජපක්ස මැටිතුමන්ටත් ජයගම
48,1.42E+18,7/31/2021 8:07,Sport,නිකමට හිතන්නකො අපේ රටේ ක්රීඩා කියල තිබුනෙ ඇත්ලටික්ස් විතරයි කියල එහෙනම් අපේ ජීවිත පට්ට බෝරින් වෙයි නෙහ් පෙරුම් පුරාගෙන බලන් ඉන්න ඉවෙන්ට් එක තප්පර ගානක ඉවරවෙනව වගේද ක්රිකට් කෙලින්ම අපේ දවසක්ම කාල දානවනෙ වී ආර් සෝ ලකී නේහ්
50,1.42E+18,7/31/2021 6:53,Sport,මෙවර ඔලිම්පික් ක්රීඩා උළෙලේ ශ්රී ලංකා නියෝජන කරමින් යුපුන් අබේකෝන් අද තරග බිමට පිවිසී නියමිතව තිබේ මීටර පිරිමි ධාවන ඉසව් සදහා තරඟ ශ්රී ලංකා වේලාවෙන් අද පස්වරු පැවැත්වී නියමිතයි
52,1.42E+18,7/31/2021 6:08,Sport,පෝට් සිටි හි පිහිටි ගොල්ෆ් ක්රීඩා පිටිය අද ජනතාවට විවෘත කරයි
54,1.42E+18,7/31/2021 6:00,Sport,ජාතික ක්රීඩා දිනය අද
56,1.42E+18,7/30/2021 14:39,Sport,විනය කමිටුවෙන් නිර්දේශිත දඬුවම් විධායක කමිටු යළි සලකා බැලීම අගය කළ යුතුයි ලැබුණු අවස්ථාවෙන් ප්රයෝජන අරගෙන හොඳ පුහුණු වෙලා තහනම් කාලයෙන් පසුව රට කැපවීමෙන් ක්රීඩා කරන්න
58,1.42E+18,7/30/2021 14:24,Entertainment,ලෝකයේ වමතින් ක්රීඩා නොකල හැකි එකම ක්රීඩාව මොකක් කියලා දන්න
60,1.42E+18,7/30/2021 12:18,Sport,සිව් වරක් ඔලිම්පික් කිරුළු දැරූ ජිම්නාස්ටික් ශූරි ක්රීඩා ලෝලීන් ඇස් කඳුළ එක් කරයි
62,1.42E+18,7/30/2021 8:44,Sport,ඔබලා ඉතාලි ක්රිකට් කණ්ඩායමේ කුඩාම කණ්ඩායමක් පුහුණු කළ යුතුයිඑක්කෝ ඔබේ
64,1.42E+18,7/30/2021 7:40,Sport,ජාතික ක්රීඩා දින තේමා ගීතය ජය හඹා ලොවම කළඹන බය නොබා පෙරට පරදමින් පරාජිත අභියෝග කරයි ලොවට පැරදුම පරදන කාටත පුලුවන් දිරියෙන් දිදුළන කාටත පුලුවන් ජව පිටිය ජයගෙන දිය දෙබෑ කරන් පිහිනන හිරු පරාද කර අවදිව නිමා කළේ අදිටන අරමුණ හඳුනන කාටත පුලුවන්
66,1.42E+18,7/30/2021 7:34,Sport,ක්රීඩා සංගම් නියාමන පාර්ලිමේන්තු පනත
68,1.42E+18,7/30/2021 6:31,Sport,ටෝකියෝ ඔලිම්පික්හි වෙනි දින අද මලල ක්රීඩා ඉසව් ආරම්භ කරමින් පැවති ඉසව්වෙ සිව්වන මූලික වටයට ඉරිපත් වූ ශ්රීලංකා මලල ක්රීඩික නිමාලි ලියනආරච්චි එහි ස්ථානය ලබා ගනිමින් තරඟ අවසන් කරන ලදී
70,1.42E+18,7/30/2021 5:07,Sport,ඉන්දියාව පැවති තරගාවලිය ජයග්රහණ කරා මෙහෙයවූ අතිගරු ගෝඨාබය රාජපක්ෂ ජනාධිපති තුමා ත් අගමැති මහින්ද රාජපක්ෂ මැතිතුමා ත් ක්රීඩා ඇමති නාමල් රාජපක්ෂ මැතිතුමා ත් තිරය පිටුපස සිටිමින් සැබෑ නායකත්ව දුන් බැසිල් රාජපක්ෂ මැතිතුමා ත්
72,1.42E+18,7/30/2021 4:59,Sport,චීනයේ මුලු ක්රීඩා ක්ෂේත්රයට විරුද්ධව දැඩි බොරු ප්රචාරය බටහිර අධිරාජ්යවාදී මාද්ය ගෙන යන්නේ නිසවෙනි චීනයේ ජයග්රහන සමාජවාදී ඒකාදිපතියන්ගේ කුමණ්ත්රනයක් හුවා දක්වමින් සිටී
74,1.42E+18,7/30/2021 4:31,Sport,කොහොම අපේ ක්රීඩා ඇමතිතුමා ලස්සන
76,1.42E+18,7/30/2021 3:38,Other,අවාසනාව ස්ත්රීපුරුෂභාවය වෙනස්කොට සැලකීමේ අවස්ථාව ක්රීඩා ක්ෂේත්රයේ බහුල
78,1.42E+18,7/30/2021 3:33,Sport,ඔලිම්පික් තරග අද පැවැත්වුණ මලල ක්රීඩා මීටර කාන්තා ඉසව්වේදී නිමාලි හිමි වූ තැන
80,1.42E+18,7/30/2021 2:36,Sport,කියලා වැඩක් නැහැ ටීම් එකක කැපවී අවතක්සේරු කරනවා කවදාවත් ක්රීඩා කරලා නැතුව
82,1.42E+18,7/30/2021 2:15,Other,දුම්බීම රටක ක්රීඩාවට හිතකර වුන එකම අවස්ථාව ක්රීඩා වාර්තා පොත් අතරට එක්වේවිද
84,1.42E+18,7/30/2021 0:34,Sport,කඟවේණුන්ගේ ජවය උරගා බැලෙන ඔලිම්පික් මලල ක්රීඩා වසන්තය ඇරඹේ
86,1.42E+18,7/29/2021 15:28,Entertainment,ජාතික ක්රීඩා විකාශය බලන්න
88,1.42E+18,7/29/2021 14:34,Sport,ක්රීඩා ලෝලීන් හැටියට විරෝධය පානවා
90,1.42E+18,7/29/2021 13:18,Sport,ඕස්ට්රේලියා මලල ක්රීඩා කණ්ඩාය නිරෝධායනයට
92,1.42E+18,7/29/2021 13:12,Sport,මේධානී ජයමාන්න ලෝක ශූරතා කණිෂ්ඨ මලල ක්රීඩා තරගාවලියට සුදුසුකම් ලැබූ හැට
94,1.42E+18,7/29/2021 11:08,Sport,ඇත්තට වැඩ බැරි උන් ඇමතිකම් ජනාධිපති කම් ඔලිම්පික් කණ්ඩායමට වෙතත් හරි හමන ක්රීඩා නිළ ඇඳුමක බලාපොරොත්තු විමද විහිළුවකි මොන පදක්කම්
96,1.42E+18,7/29/2021 11:06,Sport,අපි සල්ලි දීල තියෙන්න ක්රීඩකයන් නිළ ඇඳුම් දෙන එක ඔලිම්පික් කමිටුවෙ වැඩක් ක්රීඩා අධ්යක්ෂ ජනරාල්
98,1.42E+18,7/29/2021 10:45,Sport,මේක මං ගමනේ එක කඩයිමක තරගයත් හොද කාලයන් වාර්තා කරලා ලංකාවේ මළල ක්රීඩා ඉතිහාසයේ පිටුවක ලියන බලාපොරොත්තු ඇතුව මං ජූලි ඔලිම්පික් ස්ටේඩියම් එකට යනවා එදා හම්බවෙමු හැමෝට ජය යුපුන් අබේකෝන්
100,1.42E+18,7/29/2021 8:03,Sport,ජූලි තමයි දවසලංකාවේ මළල ක්රීඩා ඉතිහාසයේ පිටුවක ලියන බලාපොරොත්තු ඇතුව ජූලි ඔලිම්පික් තරග බිමට එන සහෝදරයාට ශ්රී ලාංකීය හැමෝගෙම ආශිර්වාද එදා හම්බවෙමුජය වේවා
102,1.42E+18,7/29/2021 6:44,Sport,මෙවර ඔලිම්පික් උළෙල සහභාගී ඔස්ට්රේලියානු මලල ක්රීඩා කණ්ඩාය නිරෝධායනයට යොමුකර තිබේ ඔලිම්පික් බලධාරී තීරණය ගෙන ඇත්තේ රිටි පැනීමේ ලෝක ශූර අමෙරිකානු ජාතික සෑම් කෙන්ඩ්රික්ස් කොවිඩ් ආසාදිත හඳුනා ගැනීමෙ අනතුරුව
104,1.42E+18,7/29/2021 6:08,Sport,ඔස්ට්රේලියානු ඔලිම්පික් කණ්ඩාය නිරෝධායනයට මෙවර ඔලිම්පික් උළෙල සහභාගී ඔස්ට්රේලියානු මලල ක්රීඩා කණ්ඩාය නිරෝධායනයට යොමුකර තිබේ විස්තර
106,1.42E+18,7/29/2021 5:59,Sport,ආබාධ හේතුවෙ ඉසුරු උදාන හට අවසන් තරඟ අහිමි වෙයි ධනංජය ලක්ෂාන ඔහු ක්රීඩා කිරීමට ඉඩක් පවතී
108,1.42E+18,7/29/2021 3:29,Politics,ක්රීඩා ඇමති ලංකාවේ ගහපු පරාද රට ගියාම න් දිනුම
110,1.42E+18,7/29/2021 3:25,Entertainment,ඔලිම්පික් ක්රීඩා උළෙලේ භාවිත බේස් බෝල් පන්දුව ශ්රී ලංකාවේ නිෂ්පාදනය මෙවර ටෝකියෝ ඔලිම්පික් ක්රීඩා උළෙලේ බේස් බෝල් ක්රීඩාවේ භාවිත පන්දුව ශ්රී ලංකාවේ නිෂ්පාදනය කරන ලද්දකි
112,1.42E+18,7/29/2021 1:58,Entertainment,ශ්රිලංකා ඉන්දු සංචාරය ක්රීඩා වේ ජීව ගුණයට ආදර්ශය සැපයූ සංචාරයක්
114,1.42E+18,7/29/2021 0:27,Sport,සිංහ ධජ සහිත නිල ඇඳුම සියල්ලන් තිබුණත් ඇතැම් අය සුපුරුදු ලකී කිට් එක ඇඳ ක්රීඩා කළා
116,1.42E+18,7/28/2021 20:11,Sport,පළමු කාර්තුවේදී ජාත්යන්තර ක්රීඩා ඉසව් පවත්වයි
118,1.42E+18,7/28/2021 18:26,Sport,සිරාවට ඕයි තෝ පිලිලයක් ලංකාවේ ක්රීඩා ලෝලින්ට
120,1.42E+18,7/28/2021 18:13,Sport,අද දින ආර් ප්රේමදාස පිටියේ පැවති ශ්රී ලංකා ඉන්දියාව විස්සයි තරඟ ශ්රී ලංකා අවසාන ඕවරයේ පන්දු තිබියදී ඉන්දියාව රැස්කළ ලකුණු පසුකර යාමෙන් තියුණු ජයග්රහණයක් ලබා ගන්නා ලදි තරගයේදී නොදැවී ක්රීඩා කළ ධනංජය සිල්වා ලකුණු
122,1.42E+18,7/28/2021 12:52,Sport,ඔලිම්පික් ක්රීඩා උළෙලේ පදක්කම් සටහන
124,1.42E+18,7/28/2021 11:46,Sport,අද හඳුනාගත ආසාදිතයින් ඔලිම්පික් ක්රීඩා ගම්මානයට සම්බන්ධ නැහැ සංවිධායකයින් පවසයි
126,1.42E+18,7/28/2021 10:43,Sport,විශ්වාස දායක ආරංචි මාර්ග ශ්රී ලංකා ඉන්දියාව තරගාවලිය නියමිත පැවැත්වී හැකි ක්රීඩා මාධ්ය වේදී ධනුෂ්ක අරවින්ද මහතා සටහනක තබමින් සදහන් කරයි
128,1.42E+18,7/28/2021 10:29,Sport,ඔලිම්පික් ක්රීඩා උළෙලේ පදක්කම් සටහනේ පළමු ස්ථානයට පැමිණීමට චීනය සමත් තිබේ චීනය රන් පදක්කම් රිදී පදක්කම් ලෝකඩ පදක්කම් දිනාගෙන ඇත දෙවන ස්ථානයේ රැදී සිටින සත්කාරක ජපාන රන් රිදී ලෝකඩ පදක්කම් ජයග්රහණ කර තිබේ
130,1.42E+18,7/28/2021 10:08,Entertainment,ජපානයේ ටෝකියෝහිදී පැවැත්වෙන ඔලිම්පික් ක්රීඩා උළෙලේ බේස්බෝල් තරගාවලිය පාවිච්චි කරන බේස්බෝල් පන්දු ශ්රී ලංකාවේ නිෂ්පාදනය කළ පන්දු වීම වඩාත් කැපී පෙනේ ඔලිම්පික් ක්රීඩා ඉතිහාසයේ ශ්රී ලංකාවේ නිෂ්පාදිත පන්දුවක් තරග යොදාගත් පළමු අවස්ථාව
132,1.42E+18,7/28/2021 9:47,Sport,කුර්නාල් පාණ්ඩ්යො ආශ්රීතයන් ශිකර් ධවාන් හාර්දික් පාණ්ඩ්යො පෘථිවි ෂෝ සුර්යකුමාර් යාදෙව් ඉෂාන් කිෂන් මනිෂ් පාණ්ඩේ කේ ගෞතම යුෂ්වේන්ද්ර චාහල් ක්රීඩකයි දෙනා ඉදිරි තරග දෙක ක්රීඩා කිරීමට හැකියා
134,1.42E+18,7/28/2021 7:09,Entertainment,ඔලිම්පික් ක්රීඩා උළෙලේ භාවිත බේස් බෝල් පන්දුව ශ්රී ලංකාවේ නිෂ්පාදනය
136,1.42E+18,7/28/2021 7:06,Sport,ඔලිම්පික් ක්රීඩා උළෙලේ පදක්කම් සටහනේ පළමු ස්ථානයට පැමිණීමට සත්කාරක ජපාන සමත් තිබේ ජපාන රන් පදක්කම් රිදී පදක්කම් ලෝකඩ පදක්කම් දිනාගෙන ඇත මෙවර ඔලිම්පික් උළෙලේ වැඩිම පදක්කම් සංඛ්යාවක් දිනාගෙන රට වන්නේ ඇමෙරිකා
138,1.42E+18,7/28/2021 7:02,Sport,දශක ගණනාවක් තිස්සේ පිහිනුම් ඉසව් වලදී පිරිමින් පමණක වැඩිදුර තරග නිර්දේශවූ ඔලිම්පික් ක්රීඩා උළෙලේදී මීටර දුර නිදහස් ආර පිහිනීමට කාන්තාවන්ට ලබාදුන් ප්රථම අවස්ථාව මෙවර ටෝකියෝ ඔලිම්පික් උළෙලේදී සිදුවිය එහි අවසන් තරඟ අද පැවති කේටි ලෙඩෙක්
140,1.42E+18,7/28/2021 6:17,Sport,ජාතික ක්රීඩා දිනය නිමිත්තෙන් දීපව්යාප්ත වැඩසටහන් රැසක්
142,1.42E+18,7/28/2021 6:14,Sport,ශ්රී ලංකා කණ්ඩායමේ ක්රීඩකයන් දෙදෙන අද ඉන්දියාව පිල ක්රීඩා කරනු ඇත
146,1.42E+18,7/28/2021 3:39,Sport,කීර්තිය ගේන් ගිය ක්රීඩකයන් ජාතික කොඩිය මහපු නිල ඇඳුමක දෙන්න බෑ ඒත් ක්රීඩා ඇමති ඇමතිලා තුන් දෙනෙක් එක්ක ප්ලේන් එකේ ගමන් සෙල්ෆි ගහල දානවා කොඩිය එක්ක මහපු ජර්සියක් ඇඳගෙන
148,1.42E+18,7/28/2021 3:12,Sport,වසරේ පැවැත්විම නියමිත ඔලිම්පික් උළෙල සදහා ක්රීඩා ඉසව් ක්රිකට් ක්රීඩාව ඇතුළත් කිරීමට අදහස් කර කුමන ආකෘති සදහා ඇතුළත් කරයිද යන්න තවම තිරණ කර නොමැත
150,1.42E+18,7/28/2021 1:07,Politics,ක්රීඩා පනත ඇමැති ඔලිම්පික් ලොක්කෝ සාකච්ඡාවක
152,1.42E+18,7/28/2021 0:57,Sport,බලන්න ඔලිම්පික් ගිය ක්රීඩකයො කවුරු ලංකා කොඩිය පැලඳලා ඔවුන්ගෙ හීනමානෙ නීසා ඒත් බලන්න අපේ ක්රීඩා අමාත්යතුමා එතුමා බොහෝම ආඩම්බරෙන් ශ්රීලාංකික කොඩිය පැලඳගෙන ඉන්න මෙවැනි තරුණ නායකයෙක් අනාගත ජනාධිපති කරවීම අපි ලබන භාග්ය නොවේද
154,1.42E+18,7/27/2021 18:09,Sport,ඉඩම් ඇමති නාමල් එක්ක ඔලිම්පික් ගියේ ඉඩම් ක්රීඩාවක තියනවද අදාල නැති ඇමතිවරු තිදෙනෙක් ක්රීඩා ඇමති ඔලිම්පික් ගිහින්
156,1.42E+18,7/27/2021 14:27,Sport,ඔලිම්පික් ක්රීඩා උළෙලේ තරඟ ඉසව් රැසක් කල් දැමේ
158,1.42E+18,7/27/2021 12:42,Sport,ලැබු ප්රතිඵලය තමන් සතුටුට පත් නොවන තමන් අතින් උපාය මාර්ගික වරදක් සිදුවු මැතිව් අබේසිංහ පවසනව ජය පරාජය ක්රීඩාවේ අංගය තම ක්රීඩා දිවිය ජයග්රහණ වගේම පරාජයන් තමන් අත්විද පිහිණුම් ශූර මැතිව් අබේසිංහ ප්රකාශ කළා
160,1.42E+18,7/27/2021 11:55,Sport,ක්රීඩා ඇමතිට අමතර තෙනුක විදානගම රොෂා රණසිංහ ඩී වී චානක ජපාන සවාරියේ යෙදී සිටින අමාත්ය මණ්ඩල සාමාජිකයන් නේද බැසිල් ඇමති කිව්වා වගේ දූෂණ නාස්තිය අවම කරන්නේ මෙහෙමද
162,1.42E+18,7/27/2021 11:32,Sport,රට ඔලිම්පික් උළෙලේදී ක්රීඩා කල ඔබට අපගේ ස්තුති
164,1.42E+18,7/27/2021 10:26,Sport,පසුගිය ඉරිදා පැවති පළමු විස්සයි තරඟ ක්රීඩා කළ ඉන්දියාව තුන් ඉරියව් ක්රීඩක කොවිඩ් වෛරස ආසාදන වී තහවුරු වීමත් අද පැවැත්වී නියමිත දෙවන විස්සයි තරඟ කල් දැමීමට තීරණය කර තිබෙනව
166,1.42E+18,7/27/2021 10:26,Sport,මම හිතන්නේ මුළු ජීවිත කාලෙම රජයෙන් එයාට පහසුකම් සපයන්න ඕනි කියලාඑයා ලබපු ජයග්ර
168,1.42E+18,7/27/2021 8:04,Sport,ක්රීඩා කරන්න කියලාද
170,1.42E+18,7/27/2021 7:16,Other,ලොව හොඳ අධ්යාපනය සහිත රට අධ්යාපනය සම්පුර්ණ නොමිලේ වගේම ලොව හොඳ අධ්යාපන ක්රමය තියෙන්නෙත් ෆින්ලන්තයේපොත්පත් පාසල් උපකරණ ක්රීඩා භාණ්ඩ නොමිලේ සපයන වගේම අසහනකාරී විභාගත් නෑතව ටියුෂන් වගේම ෆින්ලන්ත දරුවෝ ලොව අඩුම මානසික පීඩයක් සහිත දරුවෝ
172,1.42E+18,7/27/2021 7:14,Sport,ක්රීඩාව ජීවිතේම කොටසක් රටේ හැමකෙනෙක්මවගේ කිසියම් හෝ ක්රීඩාවක කරනවා අන්තර්ජාතික ක්රීඩා වගේම දේශීය ක්රීඩාත් තියෙනවා බිරිඳ කරේ තබාගෙන දිවීම රටේ ජනප්රිය ක්රීඩා අංගය
174,1.42E+18,7/27/2021 6:52,Entertainment,සමහර ඔලිම්පික් වාර්තා දශක කිහිපයක් තිස්සේ තවම නොබිඳී පවතින දශක කට කාලයක් පුරාවට නොබිඳී පවතින ඔලිම්පික් මලල ක්රීඩා වාර්තා
176,1.42E+18,7/27/2021 5:55,Sport,මෙවර ජපානයේ ඔලිම්පික් ගිනි සිළුව දැල්වීමටද තෝරාගත එරට ජනප්රියම ක්රීඩා තාරකාව හැටියට සැලකෙන ටෙනිස් ශූරී නයෝමි ඔසාකා තුන්වන වටයේ තරගයකින් පැරදී ඔලිම්පික් ටෙනිස් තරඟාවලියෙ ඉවත්වී සිදුව තිබේ අද අඟහරුවාදා පැවති ටෝකියෝ ටෙනිස් තරගාවලියේ තෙවැනි වටයේ
180,1.42E+18,7/27/2021 3:11,Sport,කතාව ඇත්ත වගේම ක්රීඩාවෙන් ජාත්යන්තර ජයග්රහණ ගෙනාව සුසන්තික හිතුවා මුලු ජීවි
182,1.42E+18,7/27/2021 1:56,Sport,ක්රීඩිකාව ක්රීඩිකයෙක් මම ගරු කරන චරිත දෙකක් පුළුවන් හැම වතාවෙම අර
184,1.42E+18,7/26/2021 12:35,Sport,ඔලිම්පික් ක්රීඩා උළෙලට සහභාගී වූ නිලූක කරුණාරත්න චාමර නුවන් තරඟ බිමට
186,1.42E+18,7/26/2021 11:40,Politics,සබඳතා සෞභාග්යය බුදු දහම කුසලතා සංවර්ධන ආපද කළමනාකරණ සංවර්ධන සහයෝගීතාවය ක්රීඩාතරුණ සබඳතා ගුවන සාගර සම්බන්ධකතාවය ප්රවර්ධන කිරීමට ප්රකාශයට පත් කරන ලද ඇඩොමිලියන ප්රදානය තුළින් පිළිඹිබු එතුමා ප්රකාශ කළේය
188,1.42E+18,7/26/2021 11:23,Sport,වර්ල්ඩ් කප් එකක් දින්නන්නම වෙයි අනිත් ඒව කා වදින්න ගනන් වල ක්රීඩාව ක්රීඩා ලෝලියා
190,1.42E+18,7/26/2021 11:13,Sport,ජාතික ක්රීඩාව වොලිබෝල් හෝ අනෙකු ක්රීඩා තරඟ පාපන්දු බාස්කට් බෝල් රගර් පැරද්දෙදි මිනිස්සු කෑගහන්නෙ නැත්තෙ ලංකා ඉන්නෙ ක්රීඩා ලෝලීන් ක්රිකට් ලෝලින්ද
193,1.42E+18,7/26/2021 9:35,Sport,ගරු තරුණ ක්රීඩා අමාත්ය නාමල් රාජපක්ෂ මැතිතුමන් එක්සත ජාතීන් මානුෂීය කටයුතු ප
195,1.42E+18,7/26/2021 9:12,Politics,වනවිට ජපානයේ ඔලිම්පික් උළෙල නැරඹීම ගොස් සිටින ක්රීඩා ඇමති නාමල් රාජපක්ෂ ජප බසින් ට්විටර් පණිවිඩයක නිකුත් කර තිබේ එහි දැක්වේ වෙළඳ රැකියා සංචාරක ආයෝජන සංස්කෘතිය තරුණ හුවමාරුව දෙරටේ සංවර්ධනයේ අන්යෝන්ය වාසිදායක වැදග
197,1.42E+18,7/26/2021 9:10,Sport,ලෝකෙ රෙදි මහන රටකට ඔලිම්පික් කණ්ඩායමට ඒඒ ක්රීඩාවට අදාලව ජාතික ක්රීඩා ඇදුම සපයගන්න බැරි වුවමනා නැති කමද ගාණක් නැති කමද
199,1.42E+18,7/26/2021 7:57,Sport,වයස අවුරුදු ක්වූ ජපානයේ මොමිජි නිෂියා සඳුදා ටෝකියෝ නුවර පැවති ක්රීඩා උළෙලේ කාන්තා වීදි ස්කේට්බොඩිං ක්රීඩාවේ ප්රථම ඔලිම්පික් රන් පදක්කම දිනා ගනිමින් ඉතිහාසය අලුත කළාය රිදී පදක්කම දිනාගත් බ්රසීලයේ රයිසා ලීල්ද වයස දැරියකවූ හැවිරිදි ජප
