,ID,FULL TEXT,CREATED AT,LIKE COUNT,FOLLOWERS COUNT,LABEL
14,1.42E+18,"තහනමකට ලක් කොට ඇති අංගම්පොර සටන් කලාව කැබිනට් පත්‍රිකාවක් මගින් ඉවත්කොට මෙම වසර තුල ගැසට් කිරීමට පියවර ගන්නා බව ක්‍රීඩා හා තරුණ කටයුතු අමාත්‍ය නාමල් රාජපක්ෂ මහතා පවසයි.

ජාතික ක්‍රීඩා සතිය නිමිත්තෙන් පිළිකුත්තුව පුරාණ රජමහා විහාරස්ථාන භූමියේදී පැවැති

https://t.co/bL7745i5lq https://t.co/O2GkxBFDJt",7/31/2021 15:23,0,105,Sport
,,,,,,
15,1.42E+18,@SriLankaTweet @OlympicLK Balance beam එකේ මිල්කා පටන්ගත් තැනම බැලන්ස් නැතුව වැටෙනවා. ඔලිම්පික් එකක ක්‍රීඩා විලාසය කියල,7/31/2021 14:10,1,60,Sport
,,,,,,
16,1.42E+18,@SriLankaTweet @OlympicLK අපි හැමදාම කලේ අතීතයේ දිහා බලාගෙන ආඩම්බර වෙනවා. ඒකාලේ මෙහෙම හැදුවා කියලා අද චීනට දෙනවා.,7/31/2021 14:04,2,60,Sport
,,,,,,
17,1.42E+18,ඉන්දියාව සමග පැවති T20 තරඟාවලිය ජයග්‍රහණය කරා මෙහෙයවූ අතිගරු ජනාධිපති ගොටාබය රාජපක්ස මැතිඳුන්ටත් අහමති මහින්ද රාජපක්ස මැතිඳුන්ටත් ක්‍රීඩා ඇමති නාමල් රාජපක්ස මැටිතුමන්ටත් #ජයගමු #lka #lk #srilanka #slnews #AdaDeranaSinhala https://t.co/SCV8B6G4iH,7/31/2021 9:51,2,370,Sport
,,,,,,
18,1.42E+18,"නිකමට හිතන්නකො අපේ රටේ ක්‍රීඩා කියල තිබුනෙ ඇත්ලටික්ස් විතරයි කියල..

එහෙනම් අපේ ජීවිත පට්ට බෝරින් වෙයි නෙහ්🤷

පෙරුම් පුරාගෙන බලන් ඉන්නව.. ඉවෙන්ට් එක තප්පර ගානකින් ඉවරවෙනව🤦

ඒ වගේද ක්‍රිකට්! කෙලින්ම අපේ දවසක්ම කාල දානවනෙ🙋

වී ආර් සෝ #ලකී නේහ්😄",7/31/2021 8:07,19,954,Sport
,,,,,,
19,1.42E+18,"මෙවර ඔලිම්පික් ක්‍රීඩා උළෙලේ ශ්‍රී ලංකාව නියෝජනය කරමින් යුපුන් අබේකෝන් අද තරග බිමට පිවිසීමට නියමිතව තිබේ. ඒ මීටර් 100 පිරිමි ධාවන ඉසව්ව සදහායි.

එම තරගය ශ්‍රී ලංකා වේලාවෙන් අද පස්වරු 4.31ට පැවැත්වීමට නියමිතයි.

https://t.co/IemzjxsKvL https://t.co/NUogb9Vbl3",7/31/2021 6:53,0,105,Sport
,,,,,,
20,1.42E+18,පෝට් සිටි හි පිහිටි ගොල්ෆ් ක්‍රීඩා පිටිය අද සිට ජනතාවට විවෘත කරයි! https://t.co/mH16WSowfT,7/31/2021 6:08,1,1018,Sport
,,,,,,
21,1.42E+18,ජාතික ක්‍රීඩා දිනය අද - Read More &gt;&gt;&gt; https://t.co/a0d0UucHT2 #LKA #SriLanka https://t.co/mdTckDwdHx,7/31/2021 6:00,0,2025,Sport
,,,,,,
22,1.42E+18,විනය කමිටුවෙන් නිර්දේශිත දඬුවම් පිළිබඳව විධායක කමිටුව විසින් යළි සලකා බැලීම අගය කළ යුතුයි. @KusalMendis13 @NiroshanDikka @danushka_70 ලැබුණු අවස්ථාවෙන් ප්‍රයෝජන අරගෙන හොඳට පුහුණු වෙලා තහනම් කාලයෙන් පසුව රට වෙනුවෙන් කැපවීමෙන් ක්‍රීඩා කරන්න. 👍 https://t.co/IeJBTHapvI,7/30/2021 14:39,2,2078,Sport
,,,,,,
23,1.42E+18,@Iam_Nisansala ලෝකයේ වමතින් ක්‍රීඩා නොකල හැකි එකම ක්‍රීඩාව මොකක්ද කියලා දන්නවද?,7/30/2021 14:24,2,10,Entertainment
,,,,,,
24,1.42E+18,"සිව් වරක් ඔලිම්පික් කිරුළු දැරූ ජිම්නාස්ටික් ශූරිය ක්‍රීඩා ලෝලීන්ගේ ඇස්වලට කඳුළක් එක් කරයි ද?
https://t.co/xY2g2DFZw8",7/30/2021 12:18,1,8026,Sport
,,,,,,
25,1.42E+18,"@OfficialSLC @KumarSanga2
@MahelaJay
දැන් ඔබලාට ඉතාලියේ ක්‍රිකට් කණ්ඩායමේ කුඩාම කණ්ඩායමක් පුහුණු කළ යුතුයි.එක්කෝ ඔබේ ",7/30/2021 8:44,0,20246,Sport
,,,,,,
26,1.42E+18,"2021 ජාතික ක්‍රීඩා දින තේමා ගීතය
ජය හඹා ලොවම කළඹන
බය නොබා පෙරට
පරදමින් පරාජිත බව
අභියෝග කරයි ලොවටම
පැරදුම පරදන
කාටත් පුලුවන්
දිරියෙන් දිදුළන
කාටත් පුලුවන්
ජව වඩා පිටිය ජයගෙන
දිය දෙබෑ කරන් පිහිනන
හිරු පරාද කර අවදිව
නෑ නිමා කළේ අදිටන
අරමුණ හඳුනන
කාටත් පුලුවන්
@RajapaksaNamal https://t.co/QRQErYcBdX",7/30/2021 7:40,7,194,Sport
,,,,,,
27,1.42E+18,"ක්‍රීඩා සංගම් නියාමනයට පාර්ලිමේන්තු පනතක්
https://t.co/cRCHOxQrQ6",7/30/2021 7:34,0,35,Sport
,,,,,,
28,1.42E+18,ටෝකියෝ ඔලිම්පික්හි 7 වෙනි දින අද මලල ක්‍රීඩා ඉසව් ආරම්භ කරමින් පැවති 800m ඉසව්වෙ සිව්වන මූලික වටයට ඉරිපත් වූ ශ්‍රීලංකා මලල ක්‍රීඩිකා නිමාලි ලියනආරච්චි එහි 8වන ස්ථානය ලබා ගනිමින් තරඟය අවසන් කරන ලදී.(2:10:23) https://t.co/EDZrR3bztw,7/30/2021 6:31,1,118,Sport
,,,,,,
29,1.42E+18,"ඉන්දියාව සමග පැවති T20 තරගාවලිය ජයග්‍රහණය කරා මෙහෙයවූ අතිගරු ගෝඨාබය රාජපක්ෂ ජනාධිපති තුමා ට ත්, අගමැති මහින්ද රාජපක්ෂ මැතිතුමා ට ත්, ක්‍රීඩා ඇමති නාමල් රාජපක්ෂ මැතිතුමා ට ත්, තිරය පිටුපස සිටිමින් සැබෑ නායකත්වය දුන් බැසිල් රාජපක්ෂ මැතිතුමා ට ත්,",7/30/2021 5:07,5,975,Sport
,,,,,,
30,1.42E+18,චීන‍යේ මුලු ක්‍රීඩා ක්ෂේත්‍රයටම විරුද්ධව දැඩි බොරු ප්‍රචාර‍යක් බටහිර අධිරාජ්‍යවාදීන්ගේ මාද්‍ය දැන් ගෙන යන්නේ මේ නිසවෙනි. චීන‍යේ ජ‍යග්‍රහන සමාජවාදී ඒකාදිපතියන්ගේ කුමණ්ත්‍රන‍යක් ලෙස හුවා දක්වමින් සිටී. https://t.co/aDt11ASRNa,7/30/2021 4:59,3,272,Sport
,,,,,,
31,1.42E+18,කොහොමද අපේ ක්‍රීඩා ඇමතිතුමා ගේ ලස්සන 😍🤗💐 https://t.co/CMWGHT2PLA,7/30/2021 4:31,6,2167,Sport
,,,,,,
32,1.42E+18,"“අවාසනාවට, ස්ත්‍රීපුරුෂභාවය මත වෙනස්කොට සැලකීමේ අවස්ථාවන් ක්‍රීඩා ක්ෂේත්‍රයේ බහුලයි”
'#Sexism at its finest' - the policing of #women's #clothing in #sports
#Olympics 
https://t.co/BCT0jg31Mc",7/30/2021 3:38,14,48051,Other
,,,,,,
33,1.42E+18,"2020 ඔලිම්පික් තරග: අද පැවැත්වුණ මලල ක්‍රීඩා මීටර් 800  කාන්තා ඉසව්වේදී නිමාලිට හිමි වූ තැන
https://t.co/AUtP7N5lyg",7/30/2021 3:33,1,837,Sport
,,,,,,
34,1.42E+18,"@SuuTikka කියලා වැඩක් නැහැ , ටීම් එකක කැපවීම අවතක්සේරු කරනවා. කවදාවත් ක්‍රීඩා කරලා නැතුව ඇති.😑",7/30/2021 2:36,1,269,Sport
,,,,,,
35,1.42E+18,දුම්බීම රටක ක්‍රීඩාවට හිතකර වුන එකම අවස්ථාව ලෙස ක්‍රීඩා වාර්තා පොත් අතරට එක්වේවිද? https://t.co/nCmejSKirr,7/30/2021 2:15,13,368,Other
,,,,,,
36,1.42E+18,කඟවේණුන්ගේ ජවය උරගා බැලෙන ඔලිම්පික් මලල ක්‍රීඩා වසන්තය ඇරඹේ https://t.co/1o7VAYxt5P,7/30/2021 0:34,1,1607,Sport
,,,,,,
37,1.42E+18,@erangatennakoon ජාතික ක්‍රීඩා විකාශය - 107.3 බලන්න,7/29/2021 15:28,2,6472,Entertainment
,,,,,,
38,1.42E+18,@Sedona_B ක්‍රීඩා ලෝලීන් හැටියට විරෝධය පානවා 😂,7/29/2021 14:34,1,854,Sport
,,,,,,
39,1.42E+18,ඕස්ට්‍රේලියානු මලල ක්‍රීඩා කණ්ඩායම නිරෝධායනයට,7/29/2021 13:18,0,837,Sport
,,,,,,
40,1.42E+18,"මේධානී ජයමාන්න ලෝක ශූරතා කණිෂ්ඨ මලල ක්‍රීඩා තරගාවලියට සුදුසුකම් ලැබූ හැට... 
@SlSports5 @SusanthikaJaya 
https://t.co/1CyYiPVRiT via @YouTube",7/29/2021 13:12,1,0,Sport
,,,,,,
41,1.42E+18,"ඇත්තටම වැඩ බැරි උන් ට ඇමතිකම්, ජනාධිපති කම් දී, ඔලිම්පික් කණ්ඩායමට වෙතත් හරි හමන් ක්‍රීඩා නිළ ඇඳුමක් බලාපොරොත්තු විමද විහිළුවකි. ඉතින් මොන පදක්කම් ද​?",7/29/2021 11:08,0,673,Sport
,,,,,,
42,1.42E+18,"🤔
අපි සල්ලි දීලා තියෙන්නෙ ක්‍රීඩකයන්ට නිළ ඇඳුම් දෙන එක ඔලිම්පික් කමිටුවෙ වැඩක් - ක්‍රීඩා අධ්‍යක්ෂ ජනරාල්
https://t.co/zXUpTfumtH",7/29/2021 11:06,1,673,Sport
,,,,,,
43,1.42E+18,"මේක මං යන ගමනේ තවත් එක කඩයිමක්. මේ තරගයත් හොද කාලයන් වාර්තා කරලා ලංකාවේ මළල ක්‍රීඩා ඉතිහාසයේ තව පිටුවක් ලියන බලාපොරොත්තු ඇතුව මං ජූලි 31 ඔලිම්පික් ස්ටේඩියම් එකට යනවා.

එදාට හම්බවෙමු. හැමෝටම ජය…

යුපුන් අබේකෝන්",7/29/2021 10:45,2,1986,Sport
,,,,,,
44,1.42E+18,"ජූලි 31 තමයි දවස.ලංකාවේ මළල ක්‍රීඩා ඉතිහාසයේ නව පිටුවක් ලියන බලාපොරොත්තු ඇතුව  ජූලි 31 ඔලිම්පික්  තරග බිමට එන Yupun Priyadarshana Abeykoon සහෝදරයාට ශ්‍රී ලාංකීය හැමෝගෙම ආශිර්වාදය එදාට හම්බවෙමු.ජය වේවා 💪❤️👏
#yupunabeykoon #southasianfastestman #OlympicTokyo2020 #NOC #srilankan https://t.co/tgsumbCcnI",7/29/2021 8:03,55,118,Sport
,,,,,,
45,1.42E+18,"මෙවර ඔලිම්පික් උළෙල ට සහභාගී වන ඔස්ට්‍රේලියානු මලල ක්‍රීඩා කණ්ඩායම නිරෝධායනයට යොමුකර තිබේ.

ඔලිම්පික් බලධාරීන් එම තීරණය ගෙන ඇත්තේ, රිටි පැනීමේ ලෝක ශූර අමෙරිකානු ජාතික සෑම් කෙන්ඩ්‍රික්ස් කොවිඩ් ආසාදිත බවට හඳුනා ගැනීමෙන් අනතුරුවය.

https://t.co/s83WD2tS71 https://t.co/kwMpoKN39o",7/29/2021 6:44,0,105,Sport
,,,,,,
46,1.42E+18,"ඔස්ට්‍රේලියානු ඔලිම්පික් කණ්ඩායම නිරෝධායනයට

මෙවර ඔලිම්පික් උළෙල ට සහභාගී වන ඔස්ට්‍රේලියානු මලල ක්‍රීඩා කණ්ඩායම නිරෝධායනයට යොමුකර තිබේ.
#sports #olympic #adaderanasinhala

වැඩි විස්තර - https://t.co/BIK48vde4L https://t.co/IEwUIIAXdU",7/29/2021 6:08,7,110509,Sport
,,,,,,
47,1.42E+18,"ආබාධයක් හේතුවෙන් ඉසුරු උදාන හට අවසන් T20 තරඟය අහිමි වෙයි. බොහෝ විට ධනංජය ලක්ෂාන් ඔහු වෙනුවට ක්‍රීඩා කිරීමට වැඩි ඉඩක් පවතී.
#SLvIND
#Cricsl https://t.co/ewf9OiSyv8",7/29/2021 5:59,50,1310,Sport
,,,,,,
48,1.42E+18,"ක්‍රීඩා ඇමති ලංකාවේ ගහපු 2ම පරාදයි 
රට ගියාම 3න් 2ක් දිනුම් 😆 https://t.co/sxdf887HCr",7/29/2021 3:29,5,1675,Politics
,,,,,,
49,1.42E+18,"ඔලිම්පික් ක්‍රීඩා උළෙලේ දී භාවිත වන බේස් බෝල් පන්දුව ශ්‍රී ලංකාවේ නිෂ්පාදනයක් 

මෙවර ටෝකියෝ ඔලිම්පික් ක්‍රීඩා උළෙලේ දී බේස් බෝල් ක්‍රීඩාවේ දී භාවිත වන පන්දුව ශ්‍රී ලංකාවේ නිෂ්පාදනය කරන ලද්දකි.
#newsdotlk #Srilankan #Srilanka #lka #Lanka #Ceylon https://t.co/PiXQ1vTmlA",7/29/2021 3:25,5,22240,Entertainment
,,,,,,
50,1.42E+18,"ශ්‍රිලංකා ඉන්දු සංචාරය ක්‍රීඩා වේ ජීව ගුණයට ආදර්ශයක් සැපයූ සංචාරයක්  #SLvIND 
#lka",7/29/2021 1:58,1,37,Entertainment
,,,,,,
51,1.42E+18,සිංහ ධජය සහිත නිල ඇඳුම සියල්ලන්ට දී තිබුණත් ඇතැම් අය සුපුරුදු ‘ලකී කිට් එක’ ඇඳ ක්‍රීඩා කළා https://t.co/1QgDDdTvt9,7/29/2021 0:27,1,1607,Sport
,,,,,,
52,1.42E+18,"2021 පළමු කාර්තුවේදී ජාත්‍යන්තර ක්‍රීඩා ඉසව් 270 ක් පවත්වයි  https://t.co/cjlVv5aAiU 
#WamNews",7/28/2021 20:11,0,234,Sport
,,,,,,
53,1.42E+18,සිරාවට ඕයි. තෝ නම් පිලිලයක් ලංකාවේ ක්‍රීඩා ලෝලින්ට. https://t.co/onUDHzjKcf,7/28/2021 18:26,0,5008,Sport
,,,,,,
54,1.42E+18,"අද දින ආර් ප්‍රේමදාස පිටියේ පැවති ශ්‍රී ලංකාව හා ඉන්දියාව අතර විස්සයි 20 තරගයෙන් ශ්‍රී ලංකාව අවසාන ඕවරයේ පන්දු 2 ක් තිබියදී ඉන්දියාව රැස්කළ ලකුණු 132 පසුකර යාමෙන් තියුණු ජයග්‍රහණයක් ලබා ගන්නා ලදි.
මෙම තරගයේදී නොදැවී ක්‍රීඩා කළ ධනංජය ද සිල්වා ලකුණු 40 ක් … https://t.co/mci2RFwtfa",7/28/2021 18:13,2,6740,Sport
,,,,,,
55,1.42E+18,"32 වන ඔලිම්පික් ක්‍රීඩා උළෙලේ පදක්කම් සටහන
https://t.co/7zOX9nMZQP",7/28/2021 12:52,0,8026,Sport
,,,,,,
56,1.42E+18,අද හඳුනාගත් ආසාදිතයින් ඔලිම්පික් ක්‍රීඩා ගම්මානයට සම්බන්ධයක් නැහැ - සංවිධායකයින් පවසයි - Read More &gt;&gt;&gt; https://t.co/Nbj0lm7aF5 #LKA #SriLanka https://t.co/kdI0JS0YY2,7/28/2021 11:46,0,2025,Sport
,,,,,,
57,1.42E+18,"විශ්වාස දායක ආරංචි මාර්ග අනුව ශ්‍රී ලංකා ඉන්දීය T20 තරගාවලිය නියමිත පරිදි පැවැත්වීමට හැකි වන බව ක්‍රීඩා මාධ්‍ය වේදී ධනුෂ්ක අරවින්ද මහතා twitter සටහනක් තබමින් සදහන් කරයි.
#Cricsl https://t.co/GqbazVkcPx",7/28/2021 10:43,2,1310,Sport
,,,,,,
58,1.42E+18,"2020 ඔලිම්පික් ක්‍රීඩා උළෙලේ පදක්කම් සටහනේ පළමු ස්ථානයට පැමිණීමට චීනය සමත්ව තිබේ.

චීනය රන් පදක්කම් 11ක්, රිදී පදක්කම් 5ක් සහ ලෝකඩ පදක්කම් 8ක් දිනාගෙන ඇත.

දෙවන ස්ථානයේ රැදී සිටින සත්කාරක ජපානය රන් 11ක්, රිදී 4ක් සහ ලෝකඩ පදක්කම් 5ක් ජයග්‍රහණය කර තිබේ.

https://t.co/Ci5rgP1et8 https://t.co/rLiYpeuYzW",7/28/2021 10:29,0,105,Sport
,,,,,,
59,1.42E+18,"ජපානයේ ටෝකියෝහිදී දැන් පැවැත්වෙන ඔලිම්පික් ක්‍රීඩා උළෙලේ බේස්බෝල් තරගාවලිය සඳහා පාවිච්චි කරන බේස්බෝල් පන්දු ශ්‍රී ලංකාවේ නිෂ්පාදනය කළ පන්දු වීම වඩාත් කැපී පෙනේ.

ඔලිම්පික් ක්‍රීඩා ඉතිහාසයේ ශ්‍රී ලංකාවේ නිෂ්පාදිත පන්දුවක් තරග සඳහා යොදාගත් පළමු අවස්ථාව

https://t.co/Dy8Vkqtu1D https://t.co/5BZLSknHJM",7/28/2021 10:08,0,105,Entertainment
,,,,,,
60,1.42E+18,"කුර්නාල් පාණ්ඩ්‍යො ගේ ආශ්‍රීතයන් වන ශිකර් ධවාන්, හාර්දික් පාණ්ඩ්‍යො,පෘථිවි ෂෝ, සුර්යකුමාර් යාදෙව්, ඉෂාන් කිෂන් , මනිෂ් පාණ්ඩේ, කේ ගෞතම් හා යුෂ්වේන්ද්‍ර චාහල් ‍යන ක්‍රීඩකයින් 8 දෙනාට ඉදිරි තරග දෙක ක්‍රීඩා කිරීමට හැකියාවක් නෑ.
#IndvsSL https://t.co/VVTC8ZjoP5",7/28/2021 9:47,1,1651,Sport
,,,,,,
61,1.42E+18,"ඔලිම්පික් ක්‍රීඩා උළෙලේ දී භාවිත වන බේස් බෝල් පන්දුව ශ්‍රී ලංකාවේ නිෂ්පාදනයක් 
#Srilankan #Srilanka #lka #Lanka #Ceylon #DGI #Government #Information #Department #News #infodprtsl  #lka https://t.co/y88zZFscbS",7/28/2021 7:09,11,8793,Entertainment
,,,,,,
62,1.42E+18,"2020 ඔලිම්පික් ක්‍රීඩා උළෙලේ පදක්කම් සටහනේ පළමු ස්ථානයට පැමිණීමට සත්කාරක ජපානය සමත්ව තිබේ.

ජපානය රන් පදක්කම් 11ක්, රිදී පදක්කම් 4ක් සහ ලෝකඩ පදක්කම් 5ක් දිනාගෙන ඇත.

මෙවර ඔලිම්පික් උළෙලේ මේ වන විට වැඩිම පදක්කම් සංඛ්‍යාවක් දිනාගෙන ඇති රට වන්නේ ඇමෙරිකාවයි.

https://t.co/yBbJHogES4 https://t.co/YQaUMsOjER",7/28/2021 7:06,0,105,Sport
,,,,,,
63,1.42E+18,"දශක ගණනාවක් තිස්සේ පිහිනුම් ඉසව් වලදී පිරිමින්ට පමණක් වැඩිදුර තරග නිර්දේශවූ අතර ඔලිම්පික් ක්‍රීඩා උළෙලේදී මීටර් 1500 දුර නිදහස් ආර පිහිනීමට කාන්තාවන්ට ලබාදුන් ප්‍රථම අවස්ථාව මෙවර ටෝකියෝ ඔලිම්පික් උළෙලේදී සිදුවිය. 

එහි අවසන් තරගය අද පැවති අතර කේටි ලෙඩෙක්… https://t.co/PBhf57nxIQ",7/28/2021 7:02,0,6740,Sport
,,,,,,
64,1.42E+18,ජාතික ක්‍රීඩා දිනය නිමිත්තෙන් දීපව්‍යාප්ත වැඩසටහන් රැසක් - Read More &gt;&gt;&gt; https://t.co/vDm52Ha2AA #LKA #SriLanka https://t.co/ZB7mamg0FT,7/28/2021 6:17,0,2025,Sport
,,,,,,
